ump,n,acc,bn,bacc,fs,fb
Nate Tomlinson,2672,0.9397455089820359,596,0.7550335570469798,47,114
Austin Jones,2096,0.9389312977099237,504,0.7638888888888888,43,85
Junior Valentine,2750,0.9381818181818182,619,0.7609046849757674,66,104
Will Little,2683,0.9381289601192695,645,0.7596899224806202,50,116
Edwin Moscoso,2689,0.9378951283004835,587,0.7495741056218058,47,120
John Libka,2309,0.9367691641403205,518,0.750965250965251,38,108
Ben May,2478,0.9358353510895884,582,0.7577319587628866,61,98
Mark Ripperger,2834,0.9354269583627381,628,0.7372611464968153,58,125
Derek Thomas,1863,0.9350509930220076,447,0.767337807606264,30,91
Nestor Ceja,2705,0.9349353049907578,604,0.7317880794701986,56,120
Dan Merzel,2673,0.9349046015712682,603,0.7446102819237148,54,120
John Tumpane,2603,0.9339223972339609,602,0.7508305647840532,62,110
Quinn Wolcott,2974,0.9337592468056489,691,0.7409551374819102,69,128
Jeremie Rehak,2575,0.9335922330097087,635,0.7496062992125985,65,106
Shane Livensparger,2265,0.9333333333333333,531,0.751412429378531,51,100
Alex Tosi,2487,0.9332529151588259,593,0.7352445193929174,61,105
Alex MacKay,2629,0.9330543933054394,612,0.7401960784313726,52,124
Adam Hamari,2798,0.9324517512508935,680,0.7529411764705882,43,146
Tripp Gibson,2797,0.9324276010010726,651,0.7357910906298003,63,126
Jansen Visconti,2336,0.9323630136986302,570,0.7368421052631579,43,115
James Jean,2394,0.931077694235589,561,0.7379679144385026,42,123
Gabe Morales,2316,0.9309153713298791,538,0.7304832713754646,71,89
Mark Wegner,2933,0.9304466416638254,692,0.7384393063583815,69,135
Marvin Hudson,1949,0.9302206259620318,460,0.7391304347826086,60,76
Bill Miller,2717,0.9297018770702982,621,0.7214170692431562,83,108
Vic Carapazza,3091,0.9291491426722743,731,0.7291381668946648,72,147
Adam Beck,2919,0.9290853031860226,701,0.7446504992867332,68,139
Tyler Jones,1729,0.9282822440717178,418,0.7392344497607656,30,94
Doug Eddings,2661,0.9278466741826381,586,0.7201365187713311,96,96
D.J. Reyburn,2185,0.9276887871853547,490,0.7244897959183674,67,91
Brian Walsh,2267,0.9276576973974415,538,0.7267657992565055,62,102
Chris Conroy,2334,0.927592116538132,571,0.7267950963222417,49,120
Adrian Johnson,1859,0.9273803119956966,435,0.7517241379310344,63,72
Nick Mahrley,2246,0.9269813000890472,508,0.7362204724409449,61,103
Mike Muchlinski,2669,0.926938928437617,615,0.7365853658536585,89,106
David Rackley,2736,0.9269005847953217,622,0.7202572347266881,90,110
Brock Ballou,1817,0.9268024215740231,424,0.7264150943396226,37,96
Nic Lentz,2826,0.9267515923566879,653,0.7366003062787136,47,160
Cory Blaser,2266,0.9267431597528685,538,0.7304832713754646,57,109
Erich Bacchus,2533,0.9265692854322938,611,0.7430441898527005,60,126
Alan Porter,2518,0.9265289912629071,583,0.7289879931389366,56,129
Chris Guccione,2640,0.9265151515151515,598,0.717391304347826,54,140
Clint Vondrak,2255,0.9263858093126386,535,0.7271028037383177,55,111
Ramon De Jesus,2350,0.9263829787234042,530,0.7188679245283018,66,107
Willie Traynor,2955,0.9262267343485617,664,0.7228915662650602,46,172
Tom Hanahan,2513,0.9251890171110226,596,0.7130872483221476,62,126
Jim Wolf,2280,0.925,543,0.7274401473296501,73,98
Jacob Metz,1506,0.9249667994687915,364,0.7335164835164835,41,72
Chad Whitson,2437,0.9244973327862126,595,0.7344537815126051,73,111
Manny Gonzalez,2434,0.924404272801972,563,0.7158081705150977,74,110
James Hoye,2655,0.9239171374764595,634,0.7050473186119873,57,145
Paul Clemons,2719,0.9238690695108496,615,0.7203252032520325,89,118
Ryan Wills,2620,0.9236641221374046,626,0.7204472843450479,66,134
Emil Jimenez,2322,0.9224806201550387,555,0.736936936936937,90,90
Brennan Miller,2486,0.9223652453740949,585,0.7367521367521368,77,116
Lance Barksdale,2714,0.9222549742078113,608,0.7055921052631579,72,139
Scott Barry,2206,0.9220308250226654,478,0.700836820083682,61,111
Dan Bellino,2550,0.9219607843137255,602,0.7225913621262459,67,132
Andy Fletcher,1687,0.921754593953764,397,0.7329974811083123,43,89
Ryan Additon,2977,0.9210614712798119,712,0.7078651685393258,70,165
Hunter Wendelstedt,2670,0.9209737827715356,615,0.7219512195121951,86,125
Alfonso Márquez,2618,0.9209320091673033,604,0.7019867549668874,60,147
Rob Drake,2723,0.9206757253029747,659,0.7116843702579666,112,104
Lance Barrett,2810,0.9202846975088967,630,0.6952380952380952,77,147
Chris Segal,2471,0.9198704977741805,571,0.7057793345008757,83,115
Carlos Torres,2431,0.9193747429041547,570,0.7157894736842105,75,121
Roberto Ortiz,2373,0.9190897597977244,558,0.7114695340501792,54,138
Jordan Baker,2604,0.9189708141321045,601,0.7021630615640599,71,140
Charlie Ramos,1863,0.917337627482555,431,0.703016241299304,45,109
Dan Iassogna,2848,0.9171348314606742,661,0.7049924357034796,97,139
Todd Tichenor,2377,0.9171224232225494,580,0.7051724137931035,59,138
Chad Fairchild,2472,0.9170711974110033,620,0.7209677419354839,89,116
Stu Scheurwater,2698,0.9169755374351372,589,0.6808149405772496,82,142
Mike Estabrook,2474,0.9159256265157639,559,0.6797853309481217,85,123
Ryan Blakney,2500,0.9156,570,0.6719298245614035,69,142
Sean Barber,2537,0.9148600709499409,623,0.6886035313001605,71,145
Brian O'Nora,1792,0.9146205357142857,434,0.684331797235023,69,84
Ron Kulpa,1804,0.9129711751662971,436,0.694954128440367,81,76
Bruce Dreckman,2671,0.9127667540247099,627,0.6762360446570973,102,131
Laz Diaz,2831,0.9123984457788767,652,0.6779141104294478,94,154
Malachi Moore,2928,0.9118852459016393,704,0.6946022727272727,103,155
Jen Pawol,1667,0.9088182363527294,406,0.6921182266009852,69,83
